RegionName	StateName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
13148	NY	12	10	5	11	10	5	9	3	7	8	6	8	10	10	7	6	14	7	10	5	4	9	10	7	11	10	5	8	11	12	7	7	6	9	5	9	10	9	16	7	6	5	6	8	9	5	8	7	12	11	9	12	6	7	9	2	4	12	6	9	8	9	14	13	13	11	13	5	5	10	5	3	3	6	12	14	11	8	6	4	4	5	6	9	12	8
13152	NY	5	9	5	7	12	9	9	5	6	5	4	10	9	9	11	4	7	10	8	4	2	7	2	8	15	9	8	4	16	16	5	3	3	6	4	6	14	11	13	4	7	8	6	5	7	4	7	6	20	8	24	11	13	15	18	10	3	9	9	6	12	12	13	13	12	13	9	3	11	3	6	5	13	9	16	7	16	9	8	3	6	7	9	6	0	2
13156	NY	2	2	2	2	5	3	2	1	1	0	3	1	0	2	0	1	4	1	3	0	1	0	4	0	5	3	2	3	3	3	2	0	4	1	2	2	3	0	6	1	1	2	0	1	1	2	3	1	4	3	2	0	1	2	3	0	2	3	1	2	2	1	3	3	2	0	2	1	0	1	2	0	2	2	4	5	1	2	1	2	2	0	0	4	0	2
13159	NY	6	5	6	3	6	0	2	0	1	5	1	2	3	7	6	5	7	6	0	2	0	3	1	6	3	8	3	3	7	6	3	2	2	1	2	3	3	2	6	6	5	3	4	2	1	1	3	2	7	1	5	4	1	6	4	5	4	5	6	6	1	6	3	2	5	10	1	3	1	4	2	2	7	3	4	3	4	6	3	2	5	4	3	2	0	0
13160	NY	1	1	0	0	1	1	3	0	1	1	0	3	1	2	2	0	5	2	2	0	0	3	4	0	0	1	0	1	2	2	1	0	1	0	0	1	1	3	1	0	1	1	0	0	0	0	1	3	1	3	2	1	2	1	0	0	2	1	0	2	1	1	0	1	4	2	4	1	0	1	0	1	1	0	2	4	2	3	1	0	0	1	3	2	4	1
13164	NY	4	6	5	8	2	4	3	3	1	3	9	6	5	5	2	3	8	5	4	2	6	3	4	1	7	6	1	3	3	4	2	3	3	7	2	1	8	5	6	5	4	1	4	2	2	2	5	5	3	5	4	3	6	3	2	2	2	4	4	3	1	4	5	3	3	2	1	1	1	2	6	3	1	4	5	2	5	3	2	1	2	3	1	1	0	0
13165	NY	11	11	7	5	8	4	8	4	5	9	5	2	3	5	6	5	8	10	7	3	5	14	12	9	6	6	9	2	9	4	5	5	6	4	6	3	13	4	6	9	4	7	8	4	1	4	10	2	4	10	10	4	9	11	6	2	8	6	8	2	9	8	8	4	9	9	7	7	3	5	2	6	9	11	8	5	15	6	7	8	7	8	5	6	11	6
13166	NY	3	4	1	7	6	2	3	0	1	4	4	3	2	1	7	4	2	6	1	2	0	3	2	2	4	7	3	1	3	3	3	0	1	1	4	2	1	1	1	0	5	1	5	3	2	3	5	1	2	1	6	3	6	2	1	4	4	2	2	1	4	2	4	4	4	1	1	5	2	1	3	2	2	6	4	4	5	5	6	2	0	3	3	1	3	3
13203	NY	9	16	8	7	7	4	6	3	3	6	5	10	8	8	13	14	5	8	6	3	4	4	7	5	11	13	11	5	8	4	8	2	5	6	5	4	10	10	8	13	3	12	5	5	7	4	6	10	12	8	9	6	8	7	6	2	5	4	12	6	5	10	5	13	11	6	7	7	8	10	7	6	10	10	13	6	13	12	11	10	6	3	12	2	0	0
13204	NY	16	13	10	9	14	18	7	6	7	5	10	4	8	13	9	16	11	15	16	8	11	11	5	12	20	11	10	13	9	10	10	11	2	6	4	7	10	7	7	5	5	8	11	3	5	10	6	14	7	8	13	6	4	6	5	6	6	8	6	7	11	9	10	6	16	7	9	4	7	13	12	8	10	6	6	13	8	9	17	9	6	11	9	10	0	0
13205	NY	17	17	10	15	11	11	8	9	8	10	11	8	7	16	14	10	14	17	21	6	9	7	21	16	19	16	13	8	4	8	10	11	4	11	8	12	15	6	6	10	8	6	4	10	10	10	10	8	10	5	15	11	7	8	8	9	4	8	6	14	9	11	11	7	15	8	11	9	4	9	8	10	8	12	13	13	15	6	4	7	11	11	4	5	0	0
13206	NY	24	23	14	15	15	5	24	12	4	10	11	7	17	21	16	21	13	25	20	9	4	10	8	20	25	8	8	14	11	11	15	6	3	8	6	16	19	11	18	18	11	12	11	14	5	12	12	15	18	20	21	13	20	15	10	17	9	9	14	18	13	21	19	14	21	9	11	16	10	12	13	13	22	12	18	9	25	12	15	9	7	13	8	5	0	0
13207	NY	15	12	22	19	13	9	15	11	5	7	10	17	8	19	15	11	15	17	14	4	9	15	14	13	22	10	9	12	5	8	5	5	6	9	10	7	19	11	11	13	14	11	14	12	7	4	12	9	10	10	9	9	14	8	9	6	5	11	17	10	12	9	18	14	5	11	15	13	3	13	8	18	11	14	11	11	16	7	8	17	8	13	9	12	0	0
